,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
row38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
row39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
row40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
row41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
row42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row43,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
row44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
row46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
row47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
row48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
row51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
row54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
row55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
row56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row57,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
row58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
row59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
row60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row61,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
row62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row63,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
row64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
row66,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
row67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row68,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
row69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
row70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
row71,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
row72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
row73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
row74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
row75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
row77,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
row78,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
row79,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
row80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
row81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
row82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
